name,id,nametype,recclass,mass,fall,year,reclat,reclong
Aybut 001,4912,Valid,H6,442.26,Found,2002,17.75793,53.99032
Asuka 880735,3444,Valid,H4,442.46,Found,1988,-72,26
Grove Mountains 021710,30710,Valid,CR2,442.6,Found,2003,-72.79028,75.29333
Jiddat al Harasis 609,51958,Valid,L6,442.9,Found,2009,19.8598,55.94635
Dar al Gani 077,5593,Valid,H6,443,Found,1995,27.10733,16.02233
Meteorite Hills 01031,16264,Valid,L5,443,Found,2001,-79.68333,159.75
Meteorite Hills 96507,16566,Valid,L5,443.1,Found,1996,-79.68333,159.75
Miller Range 03356,16652,Valid,"Iron, IVA",443.5,Found,2003,-83.25,157
Dhofar 031,6730,Valid,L6,444,Found,1999,19.11917,54.81
Dhofar 752,7498,Valid,L6,444,Found,2000,18.72743,54.76705
Jiddat al Harasis 063,12125,Valid,H5,444,Found,2000,19.7614,56.64458
Dhofar 699,7455,Valid,H4,444,Found,2002,19.10333,54.82833
S��gu��dine,23477,Valid,H6,444,Found,2002,20.81833,12.97333
Dhofar 1647,55565,Valid,H6,444,Found,2011,19.13703,54.82478
Graves Nunataks 95212,10972,Valid,H5,444.1,Found,1995,-86.71667,-141.5
Yamato 791927,27276,Valid,L6,444.17,Found,1979,-71.5,35.66667
Queen Alexandra Range 94216,19858,Valid,L6,444.2,Found,1994,-84,168
Dar al Gani 452,6000,Valid,H5,445,Found,1998,27.64617,15.91483
Johannessen Nunataks 03010,12186,Valid,H6,445,Found,2003,-72.89989,161.129
Dhofar 1139,33842,Valid,LL6,445,Found,2005,19.191694,54.639389
Allan Hills A80105,1933,Valid,L6,445.1,Found,1980,-76.77417,159.27556
Asuka 881784,4493,Valid,H4,445.32,Found,1988,-72,26
Shi��r 005,23543,Valid,H6,445.6,Found,2001,18.46617,53.83417
Dhofar 1261,33953,Valid,LL6,445.6,Found,2005,18.733472,54.515083
Queen Alexandra Range 94217,19859,Valid,H5,445.7,Found,1994,-84,168
Queen Alexandra Range 94218,19860,Valid,H5,445.7,Found,1994,-84,168
Acfer 017,27,Valid,L5,446,Found,1989,27.73333,4.4
Dhofar 431,7208,Valid,H5,446,Found,2001,18.78095,54.7802
Dhofar 437,7214,Valid,H5/6,446,Found,2001,18.8068,54.43933
Ramlat as Sahmah 290,51891,Valid,L6,446.8,Found,2009,20.5234,55.53072
Queen Alexandra Range 93036,19125,Valid,L5,446.9,Found,1993,-84.57728,162.02753
Queen Alexandra Range 94239,19877,Valid,L6,446.9,Found,1994,-84,168
Dar al Gani 385,5933,Valid,H3-4,447,Found,1997,27.4445,16.27433
La Yesera 003,54648,Valid,L4,447,Found,2003,-23.29086,-70.47239
Queen Alexandra Range 94235,19873,Valid,L6,447.1,Found,1994,-84,168
Ramlat as Sahmah 283,51870,Valid,H4,447.7,Found,2009,20.78777,56.47112
Dhofar 324,7107,Valid,H6,448,Found,2001,18.90333,54.57833
El M��dano 173,57321,Valid,L~6,448,Found,2011,-24.85,-70.53333
Asuka 881791,4500,Valid,H4,448.78,Found,1988,-72,26
Asuka 87200,2557,Valid,L3,449.09,Found,1987,-72,26
Coronel Arnold,5445,Valid,L,450,Found,1962,-33.06667,-61
Roosevelt County 019,22674,Valid,L5,450,Found,1982,34.11667,-103.56667
Ilafegh 004,12009,Valid,H5,450,Found,1989,21.55,1.53333
Queen Alexandra Range 94233,19871,Valid,L6,450,Found,1994,-84,168
Great Sand Sea 008,11188,Valid,LL3-6,450,Found,1996,26.59444,25.62222
Dhofar 366,7148,Valid,H4,450,Found,2000,18.99968,54.91148
Dhofar 1518,52392,Valid,H4,450,Found,2008,18.732,54.3845
Dhofar 1698,56323,Valid,H6,450,Found,2010,18.92783,54.60623
LaPaz Icefield 02222,12489,Valid,LL5,450.5,Found,2002,-86.36667,-70
Asuka 881773,4482,Valid,H4,450.61,Found,1988,-72,26
Elephant Moraine A79005,10006,Valid,Eucrite-pmict,450.9,Found,1979,-76.29111,157.23944
Sayh al Uhaymir 228,23401,Valid,H6,450.93,Found,2002,20.50222,57.37372
Dar al Gani 055,5571,Valid,C3-ung,451,Found,1995,27.26717,16.42033
Dhofar 1551,52408,Valid,H6,451,Found,2008,18.63333,54.3475
Pecora Escarpment 02002,18184,Valid,H5,451.3,Found,2002,-85.63333,-68.7
Asuka 87232,2589,Valid,H4,451.34,Found,1987,-72,26
Grosvenor Mountains 95521,11249,Valid,H5,451.5,Found,1995,-85.66667,175
