name,id,nametype,recclass,mass,fall,year,reclat,reclong
Needmore,16937,Valid,OC,1793,Found,1976,34.04472,-102.79917
Dhofar 283,7066,Valid,H6,1788,Found,2001,18.44,54.01833
Allan Hills 83102,597,Valid,CM2,1786.2,Found,1983,-77.04164,157.15458
Dhofar 143,6928,Valid,H5,1785,Found,2000,18.412,54.16783
Dhofar 156,6941,Valid,L5,1780,Found,2000,19.1465,54.64783
Dhofar 231,7015,Valid,H4,1780,Found,2001,18.79167,54.57667
Old Homestead 003,55545,Valid,Howardite,1780,Found,2002,-31.45278,127.8905
Dar al Gani 118,5668,Valid,L5/6,1770,Found,1996,27.25483,16.00667
Dhofar 690,7447,Valid,L6,1769,Found,2001,19.4118,54.76188
Dhofar 1724,56347,Valid,H4,1768,Found,2010,19.30085,54.83333
Queen Alexandra Range 93014,19103,Valid,H6,1767.2,Found,1993,-84.62384,162.44194
Meteorite Hills 00436,15671,Valid,Diogenite,1765.6,Found,2000,-79.68333,155.75
Dhofar 1730,56357,Valid,H6,1763,Found,2011,18.49222,54.1814
Elephant Moraine 87543,8093,Valid,H6,1761.9,Found,1987,-76.18333,157.16667
Sweetwater,23770,Valid,H5,1760,Found,1961,32.55,-100.41667
Akhricha,428,Valid,H,1760,Found,1968,28.4625,1.025
Jiddat al Harasis 555,50948,Valid,H5,1759.6,Found,2008,19.57205,55.48655
Grosvenor Mountains 85204,11213,Valid,L6,1754.7,Found,1985,-85.66667,175
Hammadah al Hamra 106,11589,Valid,H5,1750,Found,1995,28.579,13.33033
Dar al Gani 624,6171,Valid,L6,1750,Found,1998,27.3705,16.18833
Dhofar 1514,53878,Valid,R3.6,1749,Found,2008,18.33861,54.38944
Pecora Escarpment 91020,18311,Valid,EL3,1748.6,Found,1991,-85.53899,-70.71877
Dar al Gani 044,5560,Valid,H4,1741,Found,1995,27.13933,16.27267
Dhofar 017,6716,Valid,H4,1736,Found,2000,18.16,54.13833
Sayh al Uhaymir 087,23279,Valid,H5,1736,Found,2000,20.32,57.23167
Elephant Moraine 87503,8054,Valid,Howardite,1734.5,Found,1987,-76.27468,156.491
